species,mean,gbif_occs,tax_prob
Phyciodes campestris campestris/montana,-2.248001336,67,FALSE
Lycaena rubidus,-0.987884743,1318,FALSE
Pholisora catullus,-0.974564169,2865,FALSE
Hesperia nevada,-0.88391926,526,FALSE
Vanessa annabella,-0.866599286,2509,FALSE
Euchloe ausonides,-0.847897425,3606,FALSE
Polites sabuleti sabuleti,-0.74624448,312,FALSE
Euchloe hyantis lotta,-0.739045882,89,FALSE
Phyciodes campestris campestris,-0.700018504,67,FALSE
Colias alexandra,-0.685079824,4757,FALSE
Pontia protodice,-0.654475498,7572,FALSE
Coenonympha tullia california,-0.636284692,1367,FALSE
Polygonia faunus,-0.627875769,3536,FALSE
Plebejus shasta,-0.614791937,382,FALSE
Leptotes marina,-0.589828498,10950,FALSE
Pyrgus scriptura,-0.530699808,228,FALSE
Nymphalis milberti,-0.517827747,1986,FALSE
Lycaena xanthoides,-0.516145563,583,FALSE
Lerodea eufala,-0.495305877,1747,FALSE
Polites sabuleti tecumseh,-0.490976826,77,FALSE
Nymphalis antiopa,-0.482808947,85082,FALSE
Danaus plexippus,-0.464710487,222708,FALSE
Lycaeides melissa melissa,-0.461411373,297,FALSE
Papilio zelicaon,-0.451452546,5051,FALSE
Polygonia satyrus,-0.445972639,2516,FALSE
Oeneis chryxus ivallda,-0.43568731,7,FALSE
Lycaena helloides,-0.414717439,3659,FALSE
Amblyscirtes vialis,-0.412402092,2021,FALSE
Anthocharis sara sara,-0.395182941,588,FALSE
Papilio indra,-0.382923245,1950,FALSE
Philotes sonorensis,-0.356603414,495,FALSE
Pontia occidentalis,-0.353512284,4556,FALSE
Vanessa virginiensis,-0.346722441,11007,FALSE
Colias philodice (eriphyle),-0.346569632,15800,FALSE
Lycaena mariposa,-0.336547179,1555,FALSE
Neophasia menapia,-0.330980428,1478,FALSE
Euphydryas chalcedona,-0.328637364,2811,FALSE
Atlides halesus,-0.320444774,1720,FALSE
Brephidium exile,-0.29320035,335,FALSE
Apodemia mormo,-0.28859379,3806,FALSE
Polygonia zephyrus,-0.287637157,758,FALSE
Satyrium auretorum,-0.281909986,180,FALSE
Satyrium sylvinus,-0.278754873,851,FALSE
Cercyonis sthenele silvestris,-0.275765744,36,FALSE
Lycaena arota arota,-0.274156707,219,FALSE
Thorybes mexicana nevada,-0.273661099,213,FALSE
Speyeria cybele leto,-0.273326249,220,FALSE
Lycaena gorgon,-0.271646927,644,FALSE
Lycaena heteronea,-0.271563615,1761,FALSE
Colias eurytheme,-0.271397483,24016,FALSE
Anthocharis sara thoosa,-0.259073225,56,FALSE
Vanessa atalanta,-0.249177722,802789,FALSE
Pontia sisymbrii,-0.248310131,1234,FALSE
Satyrium tetra,-0.246927117,337,FALSE
Mitoura gryneus chalcosiva,-0.242140002,0,TRUE
Lycaena cupreus,-0.235019382,576,FALSE
Coenonympha tullia ampelos,-0.234282134,527,FALSE
Lycaena nivalis,-0.228809188,975,FALSE
Pieris rapae,-0.223634284,1058681,FALSE
Papilio multicaudatus,-0.204080237,0,TRUE
Callophrys dumetorum,-0.201690826,1105,FALSE
Glaucopsyche lygdamus,-0.201664996,10185,FALSE
Atalopedes campestris,-0.1987905,5787,FALSE
Everes amyntula,-0.195853714,3760,FALSE
Hesperia colorado harpalus,-0.19532684,202,FALSE
Satyrium saepium,-0.184503023,1319,FALSE
Erynnis persius,-0.18355564,2838,FALSE
Speyeria egleis,-0.181009441,678,FALSE
Glaucopsyche piasus,-0.17855243,811,FALSE
Euchloe hyantis hyantis,-0.168094376,259,FALSE
Hesperia lindseyi,-0.16580606,308,FALSE
Strymon melinus,-0.165254699,10948,FALSE
Celastrina ladon echo,-0.15141772,888,FALSE
Everes comyntas,-0.147252965,6022,FALSE
Hesperia juba,-0.144507215,1023,FALSE
Hylephila phyleus,-0.143006838,10488,FALSE
Thorybes pylades,-0.140434639,4028,FALSE
Satyrium fuliginosum fuliginosum,-0.138777683,0,TRUE
Erynnis propertius,-0.136434725,1437,FALSE
Polites sonora,-0.135892316,341,FALSE
Pyrgus communis,-0.133070825,6494,FALSE
Speyeria callippe nevadensis,-0.128529135,45,FALSE
Cercyonis oetus,-0.128267405,1931,FALSE
Ochlodes sylvanoides,-0.123360432,5064,FALSE
Anthocharis lanceolata,-0.120883861,372,FALSE
Habrodais grunus,-0.120283654,956,FALSE
Incisalia mossii,-0.11901563,0,TRUE
Plebejus acmon,-0.115354662,1194,FALSE
Plebejus icarioides,-0.112839271,1145,FALSE
Euphydryas editha,-0.111518749,1185,FALSE
Hesperia colorado idaho,-0.106052756,772,FALSE
Pontia beckerii,-0.101549058,1317,FALSE
Nymphalis californica,-0.097292162,2049,FALSE
Satyrium californica,-0.088271304,1302,FALSE
Adelpha bredowii californica,-0.087111961,0,TRUE
Pieris napi,-0.084543532,1009001,FALSE
Erynnis tristis,-0.076206965,1278,FALSE
Erynnis icelus,-0.071172877,4190,FALSE
Euphilotes enoptes,-0.069783693,2024,FALSE
Chlosyne palla,-0.069612313,1753,FALSE
Ochlodes agricola,-0.06867095,743,FALSE
Ochlodes yuma,-0.06695505,271,FALSE
Plebejus saepiolus,-0.066508089,4909,FALSE
Phyciodes mylitta,-0.065002154,2676,FALSE
Satyrium behrii,-0.057482096,1117,FALSE
Plebejus lupini,-0.057199979,972,FALSE
Limenitis lorquini,-0.050217676,3121,FALSE
Vanessa cardui,-0.049515982,403277,FALSE
Incisalia augustinus iroides,-0.044720506,0,TRUE
Junonia coenia,-0.026935997,16125,FALSE
Heliopetes ericetorum,-0.017913677,758,FALSE
Hesperia columbia,-0.015628568,180,FALSE
"Euchloe hyantis """"""""foothill""""""""",-0.014122047,0,TRUE
Callophrys sheridanii lemberti,3.85441e-4,167,FALSE
Boloria epithore,0.003162292,1281,FALSE
Papilio eurymedon,0.017690353,2623,FALSE
Lycaena arota virginiensis,0.024106472,47,FALSE
Speyeria hydaspe,0.039987664,1434,FALSE
Lycaena editha,0.050486554,1195,FALSE
Speyeria zerene,0.05624673,1861,FALSE
Speyeria mormonia,0.058979646,3534,FALSE
Parnassius clodius,0.067358757,6171,FALSE
Mitoura gryneus nelsoni,0.078333581,0,TRUE
Poanes melane,0.080185118,2069,FALSE
Anthocharis stella,0.096113461,513,FALSE
Pyrgus ruralis,0.105325837,1226,FALSE
Speyeria callippe juba,0.111004047,4,FALSE
Speyeria atlantis irene,0.111257852,4,FALSE
Zerene eurydice,0.118259949,1847,FALSE
Phyciodes campestris montana,0.124293478,0,TRUE
Papilio rutulus,0.125043005,4309,FALSE
Polites sabuleti ssp.,0.129652007,0,TRUE
Phyciodes orseis herlani,0.134132196,0,TRUE
Lycaeides idas anna,0.143620588,0,TRUE
Battus philenor,0.1726922,12015,FALSE
Incisalia eryphon,0.19706876,1852,FALSE
Chlosyne hoffmanni,0.289231777,188,FALSE
Hesperia colorado ssp.,0.331623977,0,TRUE
Euphilotes battoides,0.342635941,1020,FALSE
Agriades podarce,0.351609298,0,TRUE
Thessalia leanira,0.444313135,999,FALSE
Speyeria coronis,0.466216372,767,FALSE
Epargyreus clarus,0.499870865,12372,FALSE
Cercyonis pegala boopis,0.780195401,87,FALSE
Agraulis vanillae,4.398083555,15736,FALSE
